dataset_id,dataset_name,family,srsd_variant,algorithm,train_nmse,valid_nmse,id_nmse,ood_nmse
g0022,feynman-ii.11.20,srsd,hard dummy,llmsr,1.8823942532706745e+30,8.405620924402258e+30,1.502156422403898e+31,2.3698278507376274e+21
g0022,feynman-ii.11.20,srsd,hard dummy,pyoperon,0.9727642071921628,0.9725757740750524,0.9949552531933258,0.9999981716061924
g0022,feynman-ii.11.20,srsd,hard dummy,pysr,1.6353993434842988,0.3251707478879372,0.2589619092541487,432.6926509912075
g0022,feynman-ii.11.20,srsd,hard dummy,tpsr,,,,
g0023,feynman-i.34.27,srsd,medium dummy,drsr,9.607085921650338e+79,1.0162088748666362e+80,8.065346500961899e+79,8.883624601006926e+79
g0023,feynman-i.34.27,srsd,medium dummy,dso,0.5876190587504105,0.5501133343473201,0.5824613040116291,0.0943567627514981
g0023,feynman-i.34.27,srsd,medium dummy,gplearn,0.9279729320028646,1.0130450090231325e+106,8.040234782908217e+105,8.855957008879455e+105
g0023,feynman-i.34.27,srsd,medium dummy,llmsr,5.316400097646054e+89,5.623529469997294e+89,4.463226889680861e+89,4.916043688096704e+89
g0023,feynman-i.34.27,srsd,medium dummy,pyoperon,8.937526404243367e+48,0.80622040645073,0.8306514649790498,0.2786917182740075
g0023,feynman-i.34.27,srsd,medium dummy,pysr,9.5771749994845e+105,1.0130450090231325e+106,8.040234782908217e+105,8.855957008879455e+105
g0023,feynman-i.34.27,srsd,medium dummy,tpsr,52165929579726.52,51387588169289.375,50648919528489.65,4265242739209.488
g0024,feynman-iii.13.18,srsd,medium dummy,drsr,9.600456153507205e+32,1.8069458895651213e+33,8.513346380527694e+32,3.2956246176370943e+33
g0024,feynman-iii.13.18,srsd,medium dummy,dso,0.9961846255729928,0.9991591538440172,1.0042822668048543,1.0000210186411134
g0024,feynman-iii.13.18,srsd,medium dummy,gplearn,0.5055130349882588,0.595561910131744,0.5740199913621333,1491.6404081596247
g0024,feynman-iii.13.18,srsd,medium dummy,llmsr,2.131729771089054e+41,4.01222638379617e+41,1.8903428796607602e+41,7.31775761423018e+41
g0024,feynman-iii.13.18,srsd,medium dummy,pyoperon,0.7566966989174027,0.8594259046225206,0.8231368965618866,0.8134898176585134
g0024,feynman-iii.13.18,srsd,medium dummy,pysr,7.729976969594637e-15,5.790309444368489e-15,6.463353393687281e-15,1.3904923964109109e-15
g0024,feynman-iii.13.18,srsd,medium dummy,tpsr,0.9999196958841564,0.9998287834409332,1.000548471934524,1.000002105764644
g0025,feynman-bonus.4,srsd,hard dummy,drsr,1.5989564632220988e+48,1.3404172767262129e+48,1.990153817845863e+48,2.074818008722648e+51
g0025,feynman-bonus.4,srsd,hard dummy,dso,0.2309027946334906,0.2378828793875587,0.2355749125587922,7.285591745215978
g0025,feynman-bonus.4,srsd,hard dummy,gplearn,0.0461514546584091,0.047312989263589,0.0504207575883002,3.199036386947627
g0025,feynman-bonus.4,srsd,hard dummy,llmsr,8.718968276975278e+48,7.926085960194303e+48,9.742817188499756e+48,2.343544250234401e+51
g0025,feynman-bonus.4,srsd,hard dummy,pyoperon,0.2629130090698107,0.2679449303142052,0.2699787633610071,1.1304174187310132
g0025,feynman-bonus.4,srsd,hard dummy,pysr,0.0045915323708007,0.0039463334441157,0.0043659627210157,0.1309943755533642
g0025,feynman-bonus.4,srsd,hard dummy,tpsr,,,,
g0026,feynman-bonus.4,srsd,hard non-dummy,drsr,2.3508523709626434e+40,2.1584065434548653e+40,2.6625379353562813e+40,3.0309295975948985e+42
g0026,feynman-bonus.4,srsd,hard non-dummy,dso,0.2244202025617126,0.2812659247901516,0.1991473572950712,8.667697764825382
g0026,feynman-bonus.4,srsd,hard non-dummy,gplearn,0.0406313360378389,0.0474370148694435,0.0449615823299106,5.882627970867287
g0026,feynman-bonus.4,srsd,hard non-dummy,llmsr,8.718970520884916e+48,7.926088368204329e+48,9.742818593293679e+48,4.287945467619695e+51
g0026,feynman-bonus.4,srsd,hard non-dummy,pyoperon,0.2629066426482996,0.267936955750945,0.2699679407036787,2.024578479612368
g0026,feynman-bonus.4,srsd,hard non-dummy,pysr,0.0935008900985606,0.0943174110612031,0.1077291995334198,5.568264783381877
g0026,feynman-bonus.4,srsd,hard non-dummy,tpsr,3.929185891940697e+276,3.6657676795888285e+276,3.7900538294494517e+276,2.5728649141013962e+281
g0027,feynman-iii.17.37,srsd,medium dummy,drsr,2.5664532833936736e+59,2.818879257106097e+59,2.5536374925841333e+59,2.470880007148884e+59
g0027,feynman-iii.17.37,srsd,medium dummy,dso,0.0,0.0,0.0,5.102328384639647e-30
g0027,feynman-iii.17.37,srsd,medium dummy,gplearn,0.0,0.0,0.0,5.102328384639647e-30
g0027,feynman-iii.17.37,srsd,medium dummy,llmsr,5.69867121501124e+67,6.259169486935375e+67,5.670214442134646e+67,5.486455905351761e+67
g0027,feynman-iii.17.37,srsd,medium dummy,pyoperon,1.0,1.0,1.0,1.0
g0027,feynman-iii.17.37,srsd,medium dummy,pysr,6.245735293348956e-19,2.5313458475180652e-23,1.331041170072275e-26,9.25913663468652e-24
g0027,feynman-iii.17.37,srsd,medium dummy,tpsr,1.2342889316884838e+34,1.355561199486318e+34,1.1786219755107927e+34,1.6583160380130044e+33
g0028,feynman-i.18.16,srsd,easy dummy,drsr,7.866023096947565e+17,3.512979738452257e+17,3.661862402979852e+17,9.334584297610032e+20
g0028,feynman-i.18.16,srsd,easy dummy,dso,0.4552048796768693,0.5225730798869034,0.5028963877068925,0.6795837672346713
g0028,feynman-i.18.16,srsd,easy dummy,gplearn,9.8727314550548e-15,4.770527132362118e-15,5.559568883126891e-15,5.856049705817814e-31
g0028,feynman-i.18.16,srsd,easy dummy,llmsr,1.9606267443992555e+26,8.816380965161388e+25,9.128239836998449e+25,2.3247365509544128e+29
g0028,feynman-i.18.16,srsd,easy dummy,pyoperon,1.054545195064328,0.947960585093424,0.9396365997766534,0.997630717004296
g0028,feynman-i.18.16,srsd,easy dummy,pysr,9.872731452624111e-15,4.770527132362118e-15,5.559568883126891e-15,5.856049705817814e-31
