dataset_id,global_index,dataset_name,family,subgroup,selection_mode,candidate_advantage_side,method_total,valid_method_count,valid_methods,missing_or_invalid_methods,mean_valid_nmse,median_valid_nmse,mean_id_nmse,median_id_nmse,mean_ood_nmse,median_ood_nmse,mean_log10_id_nmse,median_log10_id_nmse,mean_log10_ood_nmse,median_log10_ood_nmse,mean_id_r2,median_id_r2,mean_ood_r2,median_ood_r2,mean_runtime,median_runtime,mean_complexity,median_complexity,mean_expression_chars,status_ok,status_timed_out,timeout_budget_exhausted_with_output,timeout_partial_output,timeout_no_valid_output,timeout_not_timeout
g0053,53,feynman-ii.8.7,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,1.802855e+109,0.891025,1.183377e+109,0.906434,2.614070e+104,0.997599,18.8959,-0.0426639,17.9295,-0.00104384,-1.308910e+109,-0.00258839,-2.780486e+104,-0.0611082,3134.38,3604.68,289.143,17,1945.43,2,5,5,0,0,2
g0054,54,feynman_II_2_42,srbench1.0,srbench1.0/feynman,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,0.315834,0.380674,0.320209,0.396901,0.547596,0.748807,-5.03847,-0.401318,-4.95451,-0.12563,0.67974,0.603035,0.452394,0.251178,3135.74,3605.26,23,17,347.286,2,5,5,0,0,2
g0055,55,feynman_II_34_11,srbench1.0,srbench1.0/feynman,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,0.148729,0.126451,0.145908,0.121827,0.309751,0.362194,-9.61259,-0.914257,-9.47605,-0.441059,0.687001,0.73866,0.612914,0.547378,3071.89,3604.52,22.5714,14,350.143,3,4,4,0,0,3
g0056,56,feynman_II_15_5,srbench1.0,srbench1.0/feynman,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,0.266579,0.25637,0.270627,0.257052,1.39345,0.617883,-9.25477,-0.589978,-8.98985,-0.209094,0.563136,0.585049,-1.41447,-0.0706262,2971.05,3605.14,19.5714,11,318.143,3,4,4,0,0,3
g0057,57,feynman_III_17_37,srbench1.0,srbench1.0/feynman,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,0.402971,0.336971,0.413537,0.332597,0.674467,0.44263,-13.1234,-0.478082,-13.4234,-0.353959,0.57101,0.654975,-0.512966,0.00709051,2955.91,3604.41,8.28571,8,249.286,3,4,4,0,0,3
g0058,58,feynman_II_36_38,srbench1.0,srbench1.0/feynman,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,0.0784671,0.0648,0.0843631,0.0724398,0.449818,0.52979,-5.346,-1.14002,-4.70007,-0.275896,0.741684,0.778193,0.355808,0.241279,3138.65,3610.96,27.1429,26,429.857,2,5,5,0,0,2
g0059,59,feynman_II_38_3,srbench1.0,srbench1.0/feynman,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,0.0945525,0.114986,0.0960693,0.122959,0.251527,0.359956,-9.88491,-0.910239,-9.72927,-0.44375,0.794528,0.737016,0.68574,0.550267,3135.78,3606.32,17.4286,14,315.571,2,5,5,0,0,2
g0060,60,feynman-i.27.6,srsd,srsd/srsd-feynman_easy_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,6.418910e+53,129.697,1.566780e+55,141.742,5.002842e+48,559.314,17.5515,2.1515,16.8699,2.74766,-2.318053e+55,-208.708,-1.058006e+49,-1181.84,3134.08,3604.14,18.5714,14,333.143,2,5,5,0,0,2
g0061,61,feynman-ii.38.3,srsd,srsd/srsd-feynman_easy_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,8.052343e+45,1.027497e+05,8.779335e+45,1.257566e+05,5.042578e+44,6250.33,16.7954,5.09953,14.2822,3.7959,-8.802713e+45,-1.260905e+05,-5.045673e+44,-6253.17,2912.3,3604.53,17.1429,13,344.143,3,4,4,0,0,3
g0062,62,Keijzer-7,keijzer,keijzer,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,0.00988669,6.126385e-10,0.00906909,6.999928e-10,0.024898,4.565354e-10,-15.9802,-9.15491,-15.8633,-9.34053,0.837978,1,-730.418,0.999987,2635.84,3604.88,9.14286,5,281,3,4,4,0,0,3
