dataset_id,global_index,dataset_name,dataset_dir,family,subgroup,selection_mode,candidate_advantage_side,method_count,valid_output_methods,valid_output_method_names,status_ok,status_timed_out,status_error
g0022,22,feynman-ii.11.20,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20,srsd,srsd/srsd-feynman_hard_dummy,strict,llmsr,7,5,drsr;dso;llmsr;pyoperon;tpsr,2,5,0
g0023,23,feynman-i.34.27,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.34.27,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0024,24,feynman-iii.13.18,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.13.18,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0025,25,feynman-bonus.4,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4,srsd,srsd/srsd-feynman_hard_dummy,strict,pysr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0026,26,feynman-bonus.4,sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.4,srsd,srsd/srsd-feynman_hard,strict,pysr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0027,27,feynman-iii.17.37,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.17.37,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,6,drsr;dso;gplearn;llmsr;pysr;tpsr,3,4,0
g0028,28,feynman-i.18.16,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.18.16,srsd,srsd/srsd-feynman_easy_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0029,29,feynman-ii.34.11,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.34.11,srsd,srsd/srsd-feynman_easy_dummy,strict,pysr,7,5,drsr;dso;llmsr;pyoperon;tpsr,2,5,0
g0030,30,feynman-bonus.8,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-bonus.8,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,6,drsr;dso;gplearn;llmsr;pysr;tpsr,3,4,0
g0031,31,feynman-i.30.5,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.30.5,srsd,srsd/srsd-feynman_easy_dummy,strict,pysr,7,6,drsr;dso;gplearn;llmsr;pysr;tpsr,3,4,0
g0032,32,feynman-i.41.16,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.41.16,srsd,srsd/srsd-feynman_hard_dummy,strict,llmsr,7,6,drsr;dso;gplearn;llmsr;pysr;tpsr,2,5,0
g0033,33,feynman-iii.4.33,sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33,srsd,srsd/srsd-feynman_hard,strict,pysr,7,6,drsr;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0034,34,feynman-iii.4.33,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-iii.4.33,srsd,srsd/srsd-feynman_hard_dummy,strict,pysr,7,6,drsr;gplearn;llmsr;pyoperon;pysr;tpsr,3,4,0
g0035,35,feynman-i.37.4,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.37.4,srsd,srsd/srsd-feynman_hard_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0036,36,feynman-ii.37.1,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.37.1,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,6,drsr;dso;gplearn;llmsr;pysr;tpsr,3,4,0
g0037,37,PO14,sim-datasets-data/llm-srbench/phys_osc/PO14,llm-srbench,llm-srbench/phys_osc,strict,llmsr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,3,4,0
g0038,38,feynman-i.44.4,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.44.4,srsd,srsd/srsd-feynman_hard_dummy,strict,pysr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0039,39,feynman-ii.11.3,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.11.3,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,6,drsr;dso;gplearn;llmsr;pyoperon;pysr,2,5,0
g0040,40,feynman-bonus.16,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.16,srsd,srsd/srsd-feynman_hard_dummy,strict,pysr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0041,41,feynman-bonus.11,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.11,srsd,srsd/srsd-feynman_hard_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,3,4,0
g0042,42,feynman-bonus.5,sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5,srsd,srsd/srsd-feynman_hard,strict,pysr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0043,43,feynman-i.18.4,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.18.4,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0044,44,feynman-bonus.5,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.5,srsd,srsd/srsd-feynman_hard_dummy,strict,pysr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,1,6,0
